,name,current alias,affiliation,marital status,gender,hair color,origin,living status,reality,place of birth,identity,citenzenship,education,creators,occupation
149,Abbadona,,,,,,Fallen angel ,Alive ,Earth-616 ,,,,,Jeff Christiansen Michael Hoskin Stuart Vandal Chad Anderson Madison Carter David Wiltfong Ronald Byrd Eric J. Moreels Anthony Flamini Al Sjoerdsma Sean McQuaid ,
150,Abbadona Hellgore,,,Widowed ,Female ,No Hair At All ,,Deceased ,Earth-616 ,,No Dual ,,,Jason Aaron Chris Bachalo ,
151,Abbas al-Abbad,Abacus,,,Male ,,Human ,Alive ,Earth-616 ,,Known to Authorities S.H.I.E.L.D. ,,,Anthony Flamini Ronald Byrd Scott Kolins ,"Mobster, information broker"
152,Abbess Horror,,"Vestry (The Inquisitor, Father Pain, Red Rosary, Reverend Guilt), Beyond Corporation, S.I.L.E.N.T. (Number None, Mister Sssh, Pope Omertà, General Quiet)",Single ,Female ,,,Deceased ,Earth-63163 ,,Secret ,,,Warren Ellis Stuart Immonen ,Agent of Beyond Corporation
153,Abbey Sykes,,,Widowed ,Female ,Black ,Human ,Alive ,Earth-616 ,,No Dual ,American,,Rick Remender Andrea Mutti ,Artist
154,Unknown,Abbot of St. George,"Order of St. George, Michael Devlin",Single ,Male ,Bald ,,Deceased ,Earth-88194 ,,Secret ,,,D.G. Chichester Margaret Clark Klaus Janson Archie Goodwin ,Abbot
155,Abby Davis,,,,Female ,Black ,Humans ,Alive ,Earth-616 ,,,American,,Glenn Greenberg Rick Leonardi ,Waitress
156,Abby Levine,,,Single ,Female ,Blond Dyed Red ,Human ,Alive ,Earth-616 ,,No Dual ,American,,Howard Mackie John Romita Jr. ,Student
157,Abby Rubin,,,,Male ,Black ,Human ,Alive ,Earth-616 ,,No Dual ,American,,Ann Nocenti Kelley Jones ,
158,Abby-L,,,Single ,Female ,Blond ,Human clone ,Deceased ,Earth-616 ,,No Dual ,,,Fred Van Lente Minck Oosterveer ,
159,Abd-el-Hazred[1],Abdul Alhazred[2],Leader of various criminal gangs,Single ,Male ,,Human ,Alive ,Earth-616 ,Saudi Arabia ,No Dual ,Saudi Arabia,,H.P. Lovecraft Kit Pearson Tony Isabella Dwight J. Zimmerman Nelson Yomtov Paul Ryan ,"Sorcerer, crimelord"
160,Adbi,President Abdi,"Black Gold, formerly Aqiria",Single ,Male ,Black ,Human ,Deceased ,Earth-616 ,,No Dual ,Aqiria,,Simon Spurrier Tan Eng Huat ,Deposed President of Aqiria
161,Abdol,,Zath,Single ,Male ,,Human ,Deceased ,Earth-616 ,,No Dual ,Zamoran,,Roy Thomas Stefano Raffaele ,
162,Abdomina,,,,Female ,White ,Musculan ,Deceased ,Earth-616 ,Noblor Muscula ,No Dual ,,,Al Ewing Flaviano Armentaro ,Adventurer
163,Abdul Al-Rahman,Colonel,Liberators (leader),Single ,Male ,Black ,Human Mutate Super-Soldier Serum Super-Soldier [1] ,Deceased ,Earth-1610 ,Azerbaijan ,Secret ,Azerbaijani,,Mark Millar Bryan Hitch ,"Terrorist, leaderFormerlya farmhand"
164,Professor Abdul Faoul,Scarlet Scarab,"Formerly Super-Axis, Sons of the Scarab",Single ,Male ,Black ,Human ,Deceased ,Earth-616 ,Egypt ,Secret ,Egyptian,,Roy Thomas Frank Robbins Frank Springer ,"Archeologist, adventurer"
165,Abdul Hurani,Sheik Abdul Hurani,,Single ,Male ,Black ,Human ,Alive ,Earth-616 ,,No Dual ,Saudi Arabian,,Michael Fleisher Alan Kupperberg ,Crimelord
166,Abdul Qamar,Arabian Knight,"Formerly Pantheon; undercover (fakely-reluctant) member of Desert Sword,",Married ,Male ,Black ,Human ,Deceased ,Earth-616 ,Saudi Arabia ,Secret ,Saudi Arabian,,Bill Mantlo Sal Buscema ,"Bedouin chieftain, trader, covert operative, adventurer"
167,Abdul T'Chaka Rosenthal,,,,Male ,Black ,,Deceased ,Earth-928 ,,No Dual ,American,,Gerard Jones Dwayne Turner ,"Music manager, singer"
168,Abdul Tallosh,,,,Male ,,Human ,Deceased ,Earth-200111 ,,No Dual ,Afghan,,Garth Ennis ,
169,Sheik Abdul Zu Fadh,,,,Male ,Black ,Human ,Alive ,Earth-616 ,,No Dual ,Turanian,,Michael Fleisher John Buscema ,Ruler
170,Abe Benerstein,,Formerly Daily Bugle,Married ,Male ,,Human ,Alive ,Earth-616 ,,No Dual ,American,,Zeb Wells Dean Haspiel ,Film critic
171,Abe Hargreaves,,United States Congress,,Male ,White ,Human ,Alive ,Earth-616 ,,No Dual ,American,,Mike Baron Erik Larsen ,Congressman
172,Abe Jankovitz,,,Single ,Male ,White ,Human ,Alive ,Earth-616 ,,No Dual ,American,,Doug Moench Bill Sienkiewicz ,"University professor, scientist"
173,Abel,,Cain,Single ,Male ,Bald ,Human ,Alive ,Earth-616 ,,No Dual ,,,Pete Tumlinson ,
174,Abel,,Chronicoms,Single ,Agender ,,Chronicom ,Alive ,Earth-199999 ,,Known to Authorities ,Chronicoms,,George Kitson ,Hunter
175,Abel Stack,,,Single ,Male ,Brown ,Human ,Deceased ,Earth-616 ,,No Dual ,American,Ph.D. in Robotics,Jack Kirby ,Scientist
176,Abel Stack,,,,Male ,Brown ,Human ,Alive ,Earth-8410 ,,No Dual ,American,,Tom DeFalco Herb Trimpe ,Scientist
177,Abel Stack,,,,Male ,,Human ,Deceased ,Earth-9997 ,,No Dual ,American,,Jim Krueger Alex Ross John Paul Leon ,Scientist
178,Abel Stack,Dr. Abel Stack,,Single ,Male ,Brown ,Human ,Alive ,Earth-13159 ,,No Dual ,American,Doctorate in Cybernetics.,Jeff Parker Carlo Pagulayan ,Independent Contractor for the US Army
179,Abel Tennison,,,Single ,Male ,Grey ,Human ,Alive ,Earth-616 ,,No Dual ,American,,John Byrne Bart Sears ,Bank manager
180,Abelard (full name unrevealed),,SquidCo,,Male ,Black ,,Deceased ,Earth-928 ,,No Dual ,American,,Nancy Collins Gary Erskine ,Project manager
181,Abelisk,,,Single ,Female ,,Abilisks ,Alive ,Earth-TRN562 ,,No Dual ,,,TinyCo David Nakayama Allen Warner ,
